woord afkap
dief dief
diefstal diefstal
dien dien
dienaars die-naars
diens diens
diensbaar diens-baar
dienswerk diens-werk
diep diep
diep-verborge diep-ver-bor-ge
diepe die-pe
dieper die-per
diepste diep-ste
diepte diep-te
diepte<U+2040>omhoog diep-te<U+2040>om-hoog
diepte<U+2040>omlaag diep-te<U+2040>om-laag
dieptes diep-tes
dier dier
dieselfde die-self-de
digte dig-te
ding ding
dinge din-ge
dinge<U+2040>omvat din-ge-<U+2040>om-vat
dink dink
dis dis
dit dit
dít dít
dode do-de
dode<U+2040>op do-de<U+2040>op
dodelike do-de-li-ke
doderyk do-de-ryk
doeke doe-ke
doem doem
doen doen
dogter-stede dog-ter-ste-de
dogters dog-ters
donder don-der
donderslag don-der-slag
donderstemme don-der-stem-me
donker don-ker
donkerheid don-ker-heid
dood dood
doodkrank dood-krank
doodslaan dood-slaan
doodsmag doodsmag
doodsmart doodsmart
doof doof
dooie dooie
dooies dooi-es
dorheid dor-heid
dors dors
dorsland dors-land
dra dra
draer dra-er
drangroep dran-groep
dreig dreig
dreuning dreu-ning
drie-eenge drie-een-ge
dring dring
drink drink
droefenis dr-oefe-nis
droefheid droef-heid
drome dro-me
droog droog
droom” droom”
druiwe drui-we
druk druk
druppel drup-pel
dryf dryf
dubb'le dubb'le
dubbel dub-bel
duif duif
duisend dui-send
duisende dui-sen-de
duisenderlei dui-sen-der-lei
duisendvoud dui-send-voud
duister duis-ter
duisternis duis-ter-nis
duiwel dui-wel
duld duld
dure du-re
durf durf
dus dus
duur duur
duurte duur-te
dwaalweg dwaal-weg
dwang dwang
edelsteen edel-steen
edik edik
edomiet edo-miet
eed eed
een een
één één
eenge een-ge
eengeboorne een-ge-boor-ne
eenheid een-heid
eens eens
eenvoud een-voud
eer eer
eerbaar eer-baar
eerkroon eerkroon
eers eers
eersgeboorne eers-ge-boor-ne
eerst'ling eerst'ling
eerst'lingsvrug eerst'lings-vrug
eerste eer-ste
eerste<U+2040>en eer-ste<U+2040>en
eerstelinge<U+2040>aan eer-ste-lin-ge<U+2040>aan
eet eet
eeu-omvattend eeu-omvat-tend
eeue eeue
eeuskuld eeuskuld
eewge eew-ge
eg eg
egband eg-band
egipte egip-te
eie eie
eiendom ei-en-dom
eind eind
eind'lik eind'lik
eind'loos eind'loos
eind'lose<U+2040>ewighede eind'lose<U+2040>e-wig-he-de
einde ein-de
eindelik ein-de-lik
eindeloos ein-de-loos
eindelose ein-de-lo-se
eis eis
ek ek
el el
elke el-ke
elkeen el-keen
ellendig el-len-dig
en en
én én
end end
eng'le eng'le
eng'le-lofstem eng'le-lofstem
eng'lekore eng'leko-re
eng'lemag eng'lemag
eng'leskaar eng'leskaar
eng'leskare eng'leska-re
eng'lestem eng'lestem
engel en-gel
engele en-ge-le
engelskaar en-gelskaar
engte eng-te
eniggebore enig-ge-bo-re
enigste enig-ste
enk'le enk'le
enkel en-kel
enkele enk-ele
erbarm er-barm
erdewerk er-de-werk
ere ere
erf erf
erfdeel erf-deel
erfgenaam erf-ge-naam
erken er-ken
erwe er-we
ewig ewig
ewig-vas ewig-vas
ewige ewi-ge
ewigheid ewig-heid
farao fa-rao
fees fees
fel fel
felste fel-ste
filistyn fi-listyn
fondamente<U+2040>uit fon-da-men-te<U+2040>uit
fondering fon-de-r-ing
fontein fon-tein
formeer for-meer
fris fris
frisse fris-se
fyne fy-ne
fynste fyn-ste
gaan gaan
gans gans
ganse gan-se
gawe ga-we
geag ge-ag
gebed ge-bed
gebede ge-be-de
gebeef ge-beef
gebid ge-bid
gebind ge-bind
gebod ge-bod
geboei ge-boei
geboeides ge-boei-des
gebonde ge-bonde
gebore ge-bo-re
gebore<U+2040>in ge-bo-re<U+2040>in
gebore<U+2040>is ge-bo-re<U+2040>is
gebrek ge-brek
gebruik ge-bruik
gebuig ge-buig
gedaal ge-daal
gedaan ge-daan
gedagtes ge-dag-tes
gedagtig ged-ag-tig
gedek ge-dek
gedenk ge-denk
gedra ge-dra
gedring ge-dring
gedruk ge-druk
gedug ge-dug
geduld ge-duld
geduldig ge-dul-dig
gedurigdeur ge-du-rig-deur
gee gee
geëer ge-ëer
geel-rooi geel-rooi
geen geen
geeneen geen-een
geensins geensins
gees gees
gees” gees”
geeste gees-te
gegaan ge-gaan
gegee ge-gee
gegewe ge-ge-we
geheel ge-heel
geheilig ge-hei-lig
geheim'nis ge-heim'nis
geheimenis ge-hei-me-nis
geheimenisse ge-hei-me-nis-se
gehoon ge-hoon
gehoor ge-hoor
gehoorsaam ge-hoor-saam
geken ge-ken
geknel ge-knel
gekneus ge-kneus
gekom ge-kom
gekoop ge-koop
gekruisig ge-krui-sig
gekwel ge-kwel
gelas ge-las
gelei ge-lei
gelid ge-lid
geliefde ge-lief-de
geliefkoos ge-lief-koos
geloof ge-loof
geloop ge-loop
gelouterd ge-lou-terd
gelowe ge-lo-we
gelowig ge-lo-wig
gelowiges ge-lo-wi-ges
geluid ge-luid
geluidloos ge-luid-loos
gelukkig ge-luk-kig
gely ge-ly
gelyk ge-lyk
gelykenis ge-ly-ke-nis
gemaak ge-maak
gemartel ge-mar-tel
gemeenskap ge-meen-skap
gemeente ge-meen-te
