woord afkap
gevrees ge-vrees
gewaad ge-waad
gewaak ge-waak
gewaar ge-waar
gewag ge-wag
gewaggel ge-wag-gel
gewandel ge-wan-del
gewankel ge-wan-kel
gewapen ge-wa-pen
gewas ge-was
gewe ge-we
geween ge-ween
geweer ge-weer
gewees ge-wees
geweet ge-weet
geweier ge-wei-er
gewek ge-wek
geweld ge-weld
geweld'naars ge-weld'naars
gewelddaad ge-weld-daad
geweldenaar ge-wel-de-naar
geweldenaars ge-wel-de-naars
geweldenare ge-wel-de-nare
geweldig ge-wel-dig
geweldiger ge-wel-di-ger
gewelf ge-welf
gewemel ge-we-mel
gewend ge-wend
gewer ge-wer
gewerk ge-werk
geweste ge-wes-te
gewet ge-wet
gewillig ge-wil-lig
gewilligheid ge-wil-lig-heid
gewin ge-win
gewink ge-wink
gewis ge-wis
gewisheid ge-wis-heid
gewoon ge-woon
gewoond ge-woond
geword ge-word
geworde ge-wor-de
gewy ge-wy
gewys ge-wys
giet giet
gif gif
gifkiem gif-kiem
gifte gif-te
giftig gif-tig
gilead gi-le-ad
glad glad
gladde glad-de
glans glans
glanse glan-se
glansende glan-sen-de
glansgewemel glans-ge-we-mel
glansryk glans-ryk
glansverskyning glans-ver-sky-ning
glimmend glim-mend
glinster glin-ster
glo glo
gloed gloed
gloei gloei
gloeiwind gloei-wind
glorie glo-rie
glorieglans glo-rieglans
gloriekroon glo-riekroon
glorieteken glo-rie-te-ken
glorietroon glo-rie-troon
gloriewese-oordek glo-rie-wese-oor-dek
gly gly
god god
g�d g�d
godd'like godd'like
godd'likheid godd'lik-heid
godd'loosheid godd'loos-heid
goddelik god-de-lik
goddelike god-de-li-ke
goddeloos god-de-loos
goddeloosheid god-de-loos-heid
goddelooslik god-de-loos-lik
goddelose god-de-lo-se
goddeloses god-de-loses
gode go-de
godediens go-de-diens
godedom go-de-dom
godeprag go-deprag
godgesinde god-ge-sin-de
gods gods
godsberg gods-berg
godsbetroue gods-be-troue
godsgestigte gods-ge-stig-te
godspraak god-spraak
godstad god-stad
godsverbond gods-ver-bond
godsvrees gods-vrees
godvergeters god-ver-ge-ters
godverlaters god-ver-la-ters
godverlating god-ver-la-ting
godvrugtig god-vrug-tig
godvrugtiges god-vrug-ti-ges
goed goed
goeddadig goed-da-dig
goede goe-de
goedertieren goe-der-tie-ren
goedertierenhede goe-der-tie-ren-he-de
goedertierenheid goe-der-tie-ren-heid
goedgunstig goed-guns-tig
goedheid goed-heid
goedheids-owervloed goed-heids-ower-vloed
goeie goeie
golfgedruis golf-ge-druis
golfslag golfslag
golwe gol-we
gooi gooi
gord gord
gordel gor-del
gou gou
goud goud
gouddraad goud-draad
goudglans goud-glans
goudglansend goud-glan-send
goue goue
graag graag
graan graan
graf graf
grafkuil graf-kuil
gramskap gram-skap
gras gras
grawer gra-wer
greep greep
grens grens
grense gren-se
grenseloos gren-se-loos
grensomlyning gren-som-ly-ning
griewend grie-wend
grimmig grim-mig
grimmigheid grim-mig-heid
groei groei
groen groen
groene groe-ne
grond grond
grond'loos grond'loos
gronde gron-de
grondig gron-dig
grondslag grond-slag
grondvas grond-vas
grondves grond-ves
groot groot
groot-priester groot-pries-ter
groot-vermetel groot-ver-me-tel
grootdadig groot-da-dig
grootgemaak groot-ge-maak
grootheid groot-heid
grootheidsmerke groot-heids-mer-ke
grootheidswaan groot-heids-waan
grootmaak groot-maak
grootmagtig groot-mag-tig
grootser grootser
grootspraak groot-spraak
grootspreek grootspreek
grootste groot-ste
grootvors groot-vors
grote gro-te
groteliks gro-te-liks
groter gro-ter
gruis gruis
gruweldaad gru-wel-daad
gruweldade gru-wel-da-de
gruwels gru-wels
gruwelstuk gru-welstuk
gryp gryp
grysaards grys-aards
grysheid grys-heid
gulde gul-de
gun gun
guns guns
gunsbetoon guns-be-toon
gunsbewys guns-be-wys
gunsgenoot guns-ge-noot
gunsgenote guns-ge-no-te
gunst'ling gunst'ling
gunste gun-ste
gunstelinge gunste-lin-ge
gunstig guns-tig
gunsvolk guns-volk
ha ha
haal haal
haar haar
haas haas
haastig haas-tig
haat haat
haatlik haat-lik
had had
hael ha-el
haelbui ha-el-bui
haelsteen ha-el-steen
halleluja hal-le-lu-ja
hallelujas hal-le-lu-jas
halm halm
halme hal-me
hamers ha-mers
hand hand
handbreed hand-breed
hande han-de
handel han-del
handelinge han-de-lin-ge
handelskat han-delskat
handevol han-de-vol
handgebaar hand-ge-baar
handgeweld hand-ge-weld
handklap hand-klap
hang hang
hange han-ge
hard hard
harde har-de
hardvogtig hard-vog-tig
harnas har-nas
harp harp
harp- harp-
harpenaar har-pe-naar
harpenare har-pe-nare
hart hart
hart'lik hart'lik
harte har-te
harteleed har-te-leed
hartseer hartseer
haters ha-ters
hawe ha-we
hede he-de
heel heel
heelal heel-al
heeldag heel-dag
heemle heem-le
heen heen
heengaan heen-gaan
heengespoel heen-ge-spoel
heengestort heen-ge-stort
heenlei heen-lei
heenvlug heen-vlug
heer heer
heer's heer's
heerlik heer-lik
heerlikheid heer-lik-heid
heers heers
heerser heerser
heersersheerlikheid heersers-heer-lik-heid
heerserstaf heerserstaf
heerskappy heer-skap-py
heerskappye heer-skap-pye
hees hees
heet heet
hef hef
heg heg
hegg hegg
heid'ne heid'ne
heidendom hei-den-dom
heidenland hei-den-land
heidenlande hei-den-lan-de
heidenstam hei-denstam
heidenvolke hei-den-vol-ke
heil heil
heil'ge heil'ge
heil's heil's
heilbee heil-bee
heilgenot heil-ge-not
heilgoed heil-goed
heilig hei-lig
heiligdom hei-lig-dom
heiligdomme hei-lig-dom-me
heilige hei-li-ge
heilighede hei-lig-he-de
heiligheid hei-lig-heid
heillig heil-lig
heilservaring heils-er-varing
heilsfontein heils-fon-tein
heilspoor heilspoor
heilsverbond heils-ver-bond
heilsverwagting heils-ver-wag-ting
heilsweg heils-weg
heim'lik heim'lik
heimelike hei-me-li-ke
heimlik heim-lik
hel hel
held held
helde hel-de
heldebo� hel-de-bo�
heldefeit hel-de-feit
heldehart hel-de-hart
heldekrag hel-dekrag
heldekragte hel-dekrag-te
helder hel-der
heldestam hel-destam
hele he-le
help help
helper hel-per
hemel he-mel
hemel's he-mel's
hemelblou he-mel-blou
hemelbo� he-mel-bo�
hemelboog he-mel-boog
hemelbrand he-mel-brand
hemelbrood he-mel-brood
hemeldeure he-mel-deu-re
hemele he-me-le
hemelheer he-mel-heer
hemelho� he-mel-ho�
hemelho�-en he-mel-ho�-en
hemelhoog he-mel-hoog
hemelhoogtes he-mel-hoog-tes
hemelinge he-me-lin-ge
hemelkoning he-mel-ko-ning
hemelkoring he-mel-ko-ring
hemellyn he-mel-lyn
hemelrond he-mel-rond
hemelse he-melse
hemelsfeer he-melsfeer
hemelsluis he-melsluis
hemeltergers he-mel-ter-gers
hemeltrans he-mel-trans
hemeltranse he-mel-tran-se
hemeltroon he-mel-troon
hemelveld he-mel-veld
her her
her- her-
herbore her-bo-re
herbou her-bou
herdenk her-denk
herder her-der
herder-vors her-der-vors
herderstent her-der-stent
herdink her-dink
here here
herinn'ring herinn'ring
herinner herin-ner
herinnering herin-ne-ring
herleef her-leef
herlewe her-le-we
hermon her-mon
herroep her-roep
herrys her-rys
herskep herskep
herstel her-stel
hert hert
herte her-te
het het
heugenis heu-ge-nis
heuning heu-ning
heuningbeek heu-ning-beek
heuningdrup heu-ning-drup
heup heup
heupe heu-pe
heuwelrye heu-wel-rye
heuwels heu-wels
hier hier
hieraan hier-aan
hierdie hier-die
hiervandaan hier-van-daan
hinder hin-der
hinderlae hin-der-lae
hitte hit-te
hoe hoe
ho� ho�
hoed hoed
hoedat hoe-dat
hoede hoe-de
hoef hoef
hoeksteen hoek-steen
ho�r ho�r
hoeseer hoe-seer
hoewel hoe-wel
hof hof
hoggehalmde hog-ge-halm-de
holte hol-te
hom hom
homself hom-self
honde honde
honger hon-ger
hongeriges hon-ge-ri-ges
hongersnood hon-gersnood
hongeruur hon-ge-ruur
hoof hoof
hoofde hoof-de
hoofgeskud hoof-ge-skud
hoofsalf hoof-salf
hoog hoog
hooggedug hoog-ge-dug
hooggehalmde hoog-ge-halm-de
hooggehewe hoog-ge-he-we
hooggehys hoog-ge-hys
hooggestemde hoog-ge-stem-de
hooghartig hoog-har-tig
hoogheid hoog-heid
hoogmoedig hoog-moe-dig
hoogste hoog-ste
hoogte hoog-te
hoogtes hoog-tes
hoogwys hoog-wys
hoon hoon
hoop hoop
hoor hoor
hoort hoort
horing ho-ring
horings ho-rings
hou hou
houtwerk hout-werk
huigelende hui-ge-len-de
huil huil
huis huis
huiselike hui-se-li-ke
huisgesin huis-ge-sin
huisvrou huis-vrou
huiwer hui-wer
hul hul
h�l h�l
hul's hul's
hulde hul-de
huldig hul-dig
hulle hul-le
hulp hulp
hulp'loos hulp'loos
hulpgeroep hulp-ge-roep
hulproep hulp-roep
hulself hulself
hunker hun-ker
hupp'lend hupp'lend
huppel hup-pel
hut hut
hy hy
hy's hy's
hy't hy't
ieder ie-der
iedereen ie-der-een
iets iets
immermeer im-mer-meer
in in
inbeeldings in-beel-dings
indagtig indag-tig
inderdaad in-der-daad
ingaan in-gaan
ingegly in-ge-gly
ingehaal in-ge-haal
ingelei in-ge-lei
ingepas in-ge-pas
ingeperk in-ge-perk
ingeplant in-ge-plant
ingesink in-ge-sink
ingesluit in-ge-sluit
ingesnoer in-ge-snoer
ingestort in-ge-stort
ingevoer in-ge-voer
ingewand in-ge-wand
ingewikkel in-ge-wik-kel
ingewoel in-ge-woel
inhaal in-haal
inmekaargesak in-me-kaar-ge-sak
insig in-sig
intree in-tree
intrek in-trek
inwag in-wag
inwendig in-wen-dig
is is
is'rel is'rel
is't is't
isak isak
ismaels is-ma-els
isr'el isr'el
isr'els isr'els
israel is-ra-el
israels is-ra-els
ivore-koningshuis ivore-konings-huis
ja ja
jaag jaag
jaar jaar
ja�rs ja�rs
jaarseisoen jaarsei-soen
jabin ja-bin
jag jag
jakob ja-kob
jakobs ja-kobs
jakobswonings ja-kob-s-wo-nings
jammer jam-mer
jammerklag jam-merklag
jammerklagte jam-merklag-te
jammerstaat jam-mer-staat
jammmerstaat jam-m-mer-staat
jare ja-re
jerusalem je-ru-sa-lem
jeug jeug
jeugtyd jeug-tyd
jong jong
jong'ling jong'ling
jonge jon-ge
jongelinge jon-ge-lin-ge
jongmanne jong-man-ne
jongs jongs
jonk jonk
jonkheids jonk-heids
jonkheidslewe jonk-heids-le-we
jordaan jor-daan
jordaanstroom jor-daan-stroom
josef jo-sef
josefs jo-sefs
jou jou
j�� j��
jubel ju-bel
jubelend ju-be-lend
jubelende ju-be-len-de
jubelkoor ju-bel-koor
jubelreie ju-bel-reie
jubels ju-bels
jubelsang ju-belsang
jubelsange ju-belsan-ge
jubelskal ju-belskal
jubileer ju-bi-leer
juda ju-da
juda's juda's
juig juig
juigend jui-gend
juigend-blye jui-gend-blye
juigenstof jui-gen-stof
juigtoon juig-toon
juk juk
jul jul
jul's jul's
julle jul-le
juublend juublend
jy jy
kades ka-des
kaf kaf
kake ka-ke
kalf kalf
kalwers kal-wers
kamers ka-mers
kan kan
kana'n kana'n
kana'ns kana'ns
kana�n ka-na�n
kananiet ka-na-niet
kans kans
kant kant
kante kan-te
kasty kasty
kastyding kas-ty-ding
keel keel
keer keer
kelk kelk
ken ken
kenner ken-ner
kennis ken-nis
kennislig ken-nis-lig
kennisskat ken-nis-skat
kere ke-re
kerker ker-ker
kerkerduister ker-kerduis-ter
kerm kerm
kerme ker-me
kettings ket-tings
keur keur
keurmetaal keur-me-taal
kewers ke-wers
kies kies
kikvors kik-vors
kimlyn kim-lyn
kind kind
kinderbloed kin-der-bloed
kinderlik kin-der-lik
kinders kin-ders
kindertaal kin-der-taal
kis kis
kla kla
klaag klaag
klaagsang klaagsang
klaagtoon klaag-toon
klaar klaar
klaarder klaarder
klaarheid klaar-heid
klae klae
klag klag
klagte klag-te
klank klank
klare kla-re
klare-aanskouing klare-aan-skou-ing
kleding kle-ding
kleed kleed
kleef kleef
klein klein
kleingeloof klein-ge-loof
kleinheid klein-heid
kleinste klein-ste
kleinvee klein-vee
klem klem
klere kle-re
kleur kleur
kleur'ge kleur'ge
klewe kle-we
klim klim
klink klink
klinkmetaal klink-me-taal
kliphope klip-ho-pe
klipmuur klip-muur
klipsteen klip-steen
klomp klomp
klop klop
klou klou
kloue kloue
kloue-en kloue-en
kluister kluis-ter
kluit kluit
kluite klui-te
knaag knaag
knak knak
kneg kneg
knegskap kneg-skap
knegte kneg-te
knel knel
kners kners
knie knie
knie� knie�
kniel kniel
knik knik
knots knots
koest'ring koest'ring
koester koes-ter
kole ko-le
kolegloed ko-le-gloed
kolk kolk
kom kom
komaan ko-maan
kommer kom-mer
kommernis kom-mer-nis
koms koms
kon kon
kondig kon-dig
koning ko-ning
koninge ko-nin-ge
koningin ko-nin-gin
konings ko-nings
konings-eer ko-nings-eer
koningsbruid ko-nings-bruid
koningsdogter ko-nings-dog-ter
koningsdogters ko-nings-dog-ters
koningskind ko-ningskind
koningskroon ko-ningskroon
koningswoord ko-nings-woord
koninklike ko-nink-li-ke
koninkryk ko-nin-kryk
koninkryke ko-nin-kry-ke
koop koop
koor koor
kop kop
koper-kerkerdeur ko-per-ker-ker-deur
koperboog ko-per-boog
koppe kop-pe
koppig kop-pig
koring ko-ring
koringlande ko-ring-lan-de
korrels kor-rels
kort kort
korte kor-te
kortstondig kortston-dig
kortstondigheid kortston-dig-heid
kosb're kosb're
kost'lik kost'lik
kostelike kos-te-li-ke
kots kots
kou kou
koue koue
kraal kraal
krag krag
kragbewyse krag-be-wy-se
kragdaad krag-daad
kragt'loos kragt'loos
kragte krag-te
kragteloos krag-te-loos
kragtig krag-tig
kragvol krag-vol
krank krank
kranke kran-ke
krankheid krank-heid
krans krans
kreatuur kre-a-tuur
krenk krenk
kring kring
kringe krin-ge
krom krom
krone kro-ne
kronkel kron-kel
kronkelwe� kron-kel-we�
kroon kroon
kroos kroos
kruid kruid
kruin kruin
kruip kruip
kruipend krui-pend
kruipende krui-pen-de
kruis kruis
kry kry
kryg kryg
krygsbeleid krygs-be-leid
krygsgedruis krygs-ge-druis
krygsgeskreeu krygs-ge-skreeu
krygsgevange krygs-ge-van-ge
krygsman krygs-man
krygsmansdade krygs-mans-da-de
kudde kud-de
kuddeherder kud-de-her-der
kuddes kud-des
kuil kuil
kunde-en kunde-en
kuns kuns
kunsborduursel kuns-borduursel
kunstig kuns-tig
kunswerk kuns-werk
kus kus
kwaad kwaad
kwaaddoeners kwaad-doe-ners
kwaal kwaal
kwale kwa-le
kwartels kwar-tels
kwartelswerm kwar-tel-swerm
kwel kwel
kwelgedierte kwel-ge-dier-te
kwellings kwel-lings
kwes kwes
kwyn kwyn
kwynende kwy-nen-de
kwyt kwyt
kyk kyk
la la
laaf laaf
laag laag
laagheid laag-heid
laai laai
laaste laas-te
laat laat
lae lae
laer la-er
laers la-ers
lafenis la-fe-nis
lag lag
lammertrop lam-mertrop
lamp lamp
land land
lande lan-de
landerye lan-de-rye
landman land-man
lang lang
lange lan-ge
langer lan-ger
langs langs
langsaam lang-saam
lank lank
lankal lan-kal
lankmoedig lank-moe-dig
lans lans
laster las-ter
lastermond las-ter-mond
lasterpraat las-ter-praat
lasterrede las-ter-re-de
lastertaal las-ter-taal
lastertong las-tert-ong
late la-te
l� l�
lede le-de
leed leed
leef leef
leeg leeg
leen leen
leer leer
le�r le�r
le�rbendes le�r-ben-des
le�rmag le�r-mag
le�rmagte le�r-mag-te
le�rorde le�ror-de
le�rs le�rs
le�rskaar le�rskaar
le�rskare le�rska-re
lees lees
leeu leeu
leeue-aard leeue-aard
leeuestryders leeu-e-stry-ders
leeugeroep leeu-ge-roep
leeukop leeu-kop
leeus leeus
lei lei
leiding lei-ding
leidsman leids-man
leidster leidster
lek lek
lelik le-lik
lende len-de
lenteblom len-te-blom
lentelugte len-te-lug-te
leraars le-raars
les les
let let
leu'ns leu'ns
leuen leu-en
leuenaars leu-e-naars
leuenagtig leu-en-ag-tig
leuenkuns leu-en-kuns
leuenmonde leu-en-monde
leuenpaaie leu-en-paaie
leuens leu-ens
leuenspreker leu-enspre-ker
leuentaal leu-en-taal
leuenwerk leu-en-werk
leuenwoord leu-en-woord
leun leun
levi le-vi
leviatan le-vi-a-tan
leviatans le-vi-a-tans
lewe le-we
lewend le-wend
lewendig le-wen-dig
lewens le-wens
lewensbane le-wens-ba-ne
lewensbly le-wens-bly
lewensbron le-wens-bron
lewensdae le-wens-dae
lewensdag le-wens-dag
lewensduur le-wens-duur
lewensee le-wen-see
lewenseind' le-wen-seind'
lewensend le-wen-send
lewensgees le-wens-gees
lewenshoop le-wens-hoop
lewensklagte le-wens-klag-te
lewenskrag le-wenskrag
lewenskragtig le-wens-krag-tig
lewenslig le-wens-lig
lewenslot le-wenslot
lewensorde le-wen-sor-de
lewenspad le-wens-pad
lewensraaisels le-wens-raai-sels
lewenstond le-wenstond
lewenstyd le-wens-tyd
lewensvolheid le-wens-vol-heid
lewensvreug le-wens-vreug
lewer le-wer
libanon li-ba-non
lid lid
lied lied
lief lief
liefde lief-de
liefde-en liefde-en
liefdegloed lief-de-gloed
liefderyk lief-de-ryk
liefderyke lief-de-ry-ke
liefdetug lief-de-tug
liefgehad lief-ge-had
liefhebber lief-heb-ber
liefhet lief-het
lieflik lief-lik
lieflikhede lief-lik-he-de
lieflikheid lief-lik-heid
lieg lieg
liewer lie-wer
lig lig
ligbewerker lig-be-wer-ker
liggaam lig-gaam
liggaamsvrug lig-gaams-vrug
liggaamswee lig-gaams-wee
liggewiekte lig-ge-wiek-te
ligglans lig-glans
ligkolom lig-ko-lom
ligt'lik ligt'lik
ligte lig-te
lip lip
lipgebaar lip-ge-baar
lippe lip-pe
lis lis
listig lis-tig
listighede listig-he-de
ln ln
loer loer
lof lof
loffelike lof-fe-li-ke
lofgedagte lof-ge-dag-te
lofgedig lof-ge-dig
lofgeklank lof-ge-klank
lofgeluid lof-ge-luid
lofgesang lof-ge-sang
lofgesange lof-ge-san-ge
lofgeskal lof-ge-skal
lofgewade lof-ge-wa-de
loflied loflied
lofsang lofsang
lofsing lof-sing
lofstem lofstem
lofverheffing lof-ver-hef-fing
lofwaardig lof-waar-dig
lofwoord lof-woord
lok lok
lommer lom-mer
loof loof
loon loon
loop loop
los los
losprys los-prys
lot lot
lotgemeen lot-ge-meen
lotgeval lot-ge-val
lots lots
lowe lo-we
lower lo-wer
lug lug
lugte lug-te
lui lui
luid luid
luister luis-ter
luisterryk luis-ter-ryk
luit luit
luitspel luitspel
lus lus
lustig lus-tig
lustige lus-ti-ge
ly ly
lyde ly-de
lydensdae ly-dens-dae
lydenslas ly-denslas
lydensnag ly-densnag
lydensnagte ly-densnag-te
lydenstyd ly-dens-tyd
lydensug ly-den-sug
lydensvlam ly-dens-vlam
lyder ly-der
lyding ly-ding
lydsaamheid lyd-saam-heid
lye lye
lyer ly-er
lyf lyf
lyke ly-ke
lyne ly-ne
m'ontbreek m'ont-breek
maag maag
maagde maag-de
maai maai
maaier maai-er
maak maak
maaksel maak-sel
maal maal
maan maan
maar maar
maat maat
maatstaf maat-staf
maerte ma-er-te
mag mag
mag- mag-
magdaad mag-daad
maghebbers mag-heb-bers
magsbestryders mags-be-stry-ders
magsdaad mags-daad
magsvermo� mags-ver-mo�
magt'loos magt'loos
magte mag-te
magteloos mag-te-loos
magtig mag-tig
magtige mag-ti-ge
magvermo� mag-ver-mo�
majesteit ma-jesteit
majesteitlik ma-jesteit-lik
maker ma-ker
maklik mak-lik
man man
manasse ma-nas-se
manna man-na
manne man-ne
mans mans
manskap man-skap
mantel man-tel
martelaar mar-te-laar
mat mat
matelose ma-te-lo-se
matte mat-te
mededo� me-de-do�
medely me-de-ly
medelye me-de-lye
mee mee
meedo� mee-do�
meegetrek mee-ge-trek
meegevoel mee-ge-voel
meer meer
meerd're meerd're
meet meet
meetsnoer meetsnoer
mekaar me-kaar
melaatsheid me-laats-heid
meld meld
melde mel-de
melgisedeks mel-gi-se-deks
meng meng
mengeling menge-ling
menigmaal me-nig-maal
menigtes me-nig-tes
menigvuldig me-nig-vul-dig
menigvuldigheid me-nig-vul-dig-heid
mens mens
mense men-se
mense-o� mense-o�
mensehand men-se-hand
mensehande men-se-han-de
mensehulp men-se-hulp
mensekind men-se-kind
mensekinders men-se-kin-ders
mensekrag men-sekrag
menseleeftyd men-se-leef-tyd
mensemag men-se-mag
mensemagte men-se-mag-te
mensgeslagte mens-ge-slag-te
mere me-re
meriba me-ri-ba
merk merk
merke mer-ke
met met
m�t m�t
metaal me-taal
meteens me-teens
metgesel met-ge-sel
middag mid-dag
middagglans mid-dag-glans
middagstonde mid-dagstonde
midde mid-de
midde-in midde-in
middeldeur mid-del-deur
midian mi-di-an
midians-vorste mi-di-ans-vors-te
mik mik
mikpunt mik-punt
mild mild
mild'lik mild'lik
milddadig mild-da-dig
milde mil-de
min min
mind'ring mind'ring
minder min-der
minnaars min-naars
mirre mir-re
mis mis
misdaad mis-daad
misdaan mis-daan
misdade mis-da-de
misdrag mis-drag
misdrewe mis-dre-we
misdryf mis-dryf
mishaag mis-haag
mishae mis-hae
mislei mis-lei
misstap mis-stap
mistroostig mis-troos-tig
moab mo-ab
moabiet mo-a-biet
moabs mo-abs
modder mod-der
modderige mod-de-ri-ge
modderpoel mod-der-poel
moed moed
moed'loos moed'loos
moedeloosheid moe-de-loos-heid
moeder moe-der
moeders moe-ders
moedersbors moe-ders-bors
moederskoot moe-derskoot
moedersmart moe-dersmart
moederstad moe-der-stad
moeg moeg
moeite moei-te
moeite-en moeite-en
mo�ndhede mo�nd-he-de
mo�ndheid mo�nd-heid
moes moes
moet moet
mog mog
mom mom
mond mond
monde monde
moondheid moond-heid
moord'naarshande moord'naars-han-de
moordtuig moord-tuig
more mo-re
m�re m�re
m�reglans m�reglans
m�reglore m�reglo-re
moreland mo-re-land
m�relied m�re-lied
m�relig m�re-lig
m�restond m�restond
m�rewagte m�re-wag-te
m�rewolk m�re-wolk
morge mor-ge
mos mos
moses mo-ses
mossie mos-sie
mot mot
muil muil
muiterskaar mui-terskaar
mure mu-re
murmurering mur-mu-re-ring
muskiete muskie-te
muur muur
my my
mymering my-me-ring
mymeringe my-me-rin-ge
mymery my-me-ry
n n
na na
n� n�
naak naak
naam naam
naas naas
naaste naas-te
naby na-by
nader na-der
naderby na-der-by
nadink na-dink
naftali naf-ta-li
nag nag
nagedagtenis na-ge-dag-te-nis
nagedink na-ge-dink
nageslag na-ge-slag
nagespeur na-ge-speur
naglied naglied
nagte nag-te
nagtelike nag-te-li-ke
nagwaak nag-waak
najaarsblare na-jaars-bla-re
nakomelinge na-ko-me-lin-ge
nakroos nakroos
nakroosseen nakroos-seen
nasies na-sies
natuur na-tuur
nee nee
needrig nee-drig
neem neem
neer neer
neerbuig neer-buig
neerdaal neer-daal
neerdreun neer-dreun
neerdruk neer-druk
neergebo� neer-ge-bo�
neergebuig neer-ge-buig
neergedaal neer-ge-daal
neergel� neer-gel�
neergeloop neer-ge-loop
neergeslaan neer-ge-slaan
neergestort neer-ge-stort
neergestraal neer-ge-straal
neergeval neer-ge-val
neerl� neer-l�
neerplof neer-plof
neersien neer-sien
neersit neer-sit
neerslaan neer-slaan
neerstort neerstort
neerstraal neer-straal
neervaart neer-vaart
neervloei neer-vloei
neerwerp neer-werp
neig neig
nek nek
nekke nek-ke
n�rens n�rens
nes nes
nessies nes-sies
net net
nette net-te
neus neus
newens ne-wens
nie nie
niemand nie-mand
niere nie-re
niet niet
niet'ge niet'ge
nietig nie-tig
nietighede nie-tig-he-de
nietigheid nie-tig-heid
niks niks
nimmer nim-mer
nimmermeer nim-mer-meer
node no-de
noem noem
nog nog
n�g n�g
nogtans nog-tans
nood nood
nooddruftiges nood-druf-ti-ges
noodgeskrei nood-ge-skrei
nooi nooi
nooit nooit
noorde noor-de
nou nou
nouliks nou-liks
nuutgebore nuut-ge-bo-re
nuuts nuuts
nuwe nu-we
nyd nyd
nyl nyl
nylgebied nyl-ge-bied
nyw're nyw're
o o
o� o�
o�lede o�le-de
o�lig o�-lig
oestydsgroet oes-tyds-groet
of of
off'raars off'raars
offer of-fer
offerand' of-fe-rand'
offerande of-fe-ran-de
offerbede of-fer-be-de
offerbloed of-fer-bloed
offerbrand of-fer-brand
offerbrande of-fer-bran-de
offerdier of-fer-dier
offerdiere of-fer-die-re
offergeur of-fer-geur
offermaal of-fer-maal
offers of-fers
offerspys of-ferspys
ofirland ofir-land
og og
olie olie
olievlek olie-vlek
olyfboomplante o-lyf-boom-plan-te
olywe o-ly-we
om om
�m �m
ombring om-bring
ombruis om-bruis
omdat om-dat
omgeef om-geef
omgekap om-ge-kap
omgekeer om-ge-keer
omgekom om-ge-kom
omgestoot om-ge-stoot
omgewe om-ge-we
omgewend om-ge-wend
omgord om-gord
omheining om-hei-ning
omhoog om-hoog
omhooggehewe om-hoog-ge-he-we
omhooggerys om-hoog-ge-rys
omhooggesteek om-hoog-ge-steek
omkleed om-kleed
omklem om-klem
omknel om-knel
omkoopgeld om-koop-geld
omlaag om-laag
omring om-ring
omsingel om-sin-gel
omskitter om-skit-ter
omsluit om-sluit
omstraal om-straal
omsweef om-sweef
omswerm om-swerm
omtower om-to-wer
on on
onaandoenlik on-aan-doen-lik
onagsaam on-ag-saam
onbedagsaamheid on-be-dag-saam-heid
onbegaaf on-be-gaaf
onbekrompe on-bekrom-pe
onbekwaam on-bekwaam
onbeperk on-be-perk
onbeskaaf on-beskaaf
onbeskadig on-beska-dig
onbesmet on-besmet
onbesorg on-be-sorg
onbestendigheid on-besten-dig-heid
onbewaak on-be-waak
onbeweeglik on-be-weeg-lik
onbewo� on-be-wo�
ondank on-dank
onder on-der
onderdaan on-der-daan
onderdanig on-der-da-nig
onderdruk on-der-druk
onderdrukkers on-der-druk-kers
onderdrukking on-der-druk-king
ondergaan on-der-gaan
ondergang on-der-gang
onderhou on-der-hou
onderkruipers on-der-krui-pers
onderstand on-der-stand
ondersteun on-der-steun
ondervind on-der-vind
onderwerping on-der-wer-ping
onderworpeling on-der-wor-pe-ling
onderworpenheid on-der-wor-pen-heid
ondier on-dier
oneindig on-ein-dig
oneindigheid on-ein-dig-heid
onendig on-en-dig
onervare on-er-va-re
onfeilbaar on-feil-baar
ongebonde on-ge-bonde
ongebore on-ge-bo-re
ongediertes on-ge-dier-tes
ongeduld on-ge-duld
ongeduldig on-ge-dul-dig
ongehoor on-ge-hoor
ongeloof on-ge-loof
ongeluk on-ge-luk
ongemeet on-ge-meet
ongemerk on-ge-merk
ongemete on-ge-me-te
ongenade on-ge-na-de
ongene� on-ge-ne�
ongeneug on-ge-neug
ongeregtighede on-ge-reg-tig-he-de
ongeregtigheid on-ge-reg-tig-heid
ongeskied on-ge-skied
ongesnoerde on-ge-snoer-de
ongestoord on-ge-stoord
ongeteld on-ge-teld
ongetroos on-ge-troos
ongety on-ge-ty
ongevormde on-ge-vorm-de
ongewisse on-ge-wis-se
ongodd'likhede on-godd'lik-he-de
onguns on-guns
onheil on-heil
onheil'ge on-heil'ge
onheilge on-heil-ge
onheilsbodes on-heils-bo-des
onheilsmagte on-heils-mag-te
onheilsmanne on-heils-man-ne
onheilsnag on-heilsnag
onheilsplanne on-heils-plan-ne
onheilstigter on-heilstig-ter
onheilsuur on-heilsuur
onhooggespring on-hoog-ge-spring
onkeerbaar on-keer-baar
onlustig on-lus-tig
onmag on-mag
onmagtig onmag-tig
onomwonde on-om-wonde
onopreg on-op-reg
onreg on-reg
onregsdaad on-regs-daad
onregsmanne on-regs-man-ne
onregspaaie on-regspaaie
onregspad on-regs-pad
onregstigter on-regstig-ter
onregverdige on-reg-ver-di-ge
onregwerker on-reg-wer-ker
